type	latitude	longitude	name	desc	url
W	25.361944440	-80.561666670	HM-65/66-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	25.360555560	-80.552500000	HM-65/66-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	25.388055560	-80.683055560	HM-69-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	25.370000000	-80.684444440	HM-69-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	25.737500000	-80.481666670	HM-95-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	25.750277780	-80.489444440	HM-95-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	32.674444440	-83.765277780	R-88-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	32.672222220	-83.785833330	R-88-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	32.624722220	-83.364722220	R-28-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	32.628333330	-83.351388890	R-28-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	31.633333330	-84.256666670	TU-79-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	31.630555560	-84.278333330	TU-79-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	31.554444440	-83.915555560	TU-28-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	31.556388890	-83.905000000	TU-28-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	21.666944440	-157.999722220	OA-17-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	21.664444440	-157.981944440	OA-17-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	21.320277780	-157.681666670	OA-32-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	21.348611110	-157.707500000	OA-32-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	21.386111110	-158.105277780	OA-63-CS-1	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	21.377222220	-158.111944440	OA-63-CS-2	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	21.364166670	-158.112500000	OA-63-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	21.545833330	-158.194722220	OA-84-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	21.576944440	-158.195000000	OA-84-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.964166670	-87.635277780	C-03-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.938333330	-87.634166670	C-03-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.630555560	-87.087777780	C-32-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.631944440	-87.074444440	C-32-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.837777780	-87.606666670	C-40-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.848333330	-87.612222220	C-40-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.796134000	-87.575549000	C-41-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.784142000	-87.580163000	C-41-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.657500000	-87.531944440	C-44-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.676111110	-87.527777780	C-44-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.623333330	-87.417222220	C-45-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.624444440	-87.411944440	C-45-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.544722220	-87.508055560	C-46-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.527777780	-87.514722220	C-46-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.523611110	-87.176944440	C-47-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.533055560	-87.166944440	C-47-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.557222220	-87.354444440	C-48-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.555555560	-87.358055560	C-48-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.550555560	-87.647500000	C-49/50-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.543333330	-87.636916670	C-49/50-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.663888890	-87.751944440	C-51-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.671388890	-87.773055560	C-51-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.611111110	-87.868888890	C-54-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.605833330	-87.858055560	C-53-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.722222220	-87.963888890	C-61-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.728333330	-87.976666670	C-61-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.810000000	-88.147222220	C-70-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.798888890	-88.151944440	C-70-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.923333330	-88.029444440	C-72-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	41.913611110	-88.016388890	C-72-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	42.053055560	-87.994444440	C-80/81-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	42.063611110	-87.997777780	C-80/81-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	42.154722220	-88.046944440	C-84-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	42.157222220	-88.058333330	C-84-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	42.220555560	-87.953055560	C-92/94-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	42.225555560	-87.957222220	C-92-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	42.225400000	-87.948200000	C-94-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	42.120277780	-87.769166670	C-93-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	42.126666670	-87.782222220	C-93-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	42.224444440	-87.823888890	C-98-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	42.223055560	-87.822777780	C-98-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.983055560	-97.615277780	SC-01-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.005555560	-97.608888890	SC-01-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.666944440	-97.686944440	SC-50-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.648611110	-97.718333330	SC-50-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	32.671944440	-93.521666670	BD-10-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	32.674444440	-93.509722220	BD-10-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	32.303333330	-93.784444440	BD-50-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	32.293611110	-93.787777780	BD-50-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	47.035277780	-67.818333330	L-13-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	47.028333330	-67.809444440	L-13-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	46.926944440	-67.796388890	L-31-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	46.917500000	-67.791944440	L-31-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	46.886111110	-67.970277780	L-58-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	46.883888890	-68.009166670	L-58-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	47.001388890	-68.003055560	L-85-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	47.008333330	-68.018333330	L-85-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.508611110	-76.579444440	BA-03-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.516388890	-76.569722220	BA-03-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.448611110	-76.461388890	BA-09-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.446944440	-76.447777780	BA-09-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.415277780	-76.272777780	BA-18-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.424166670	-76.266111110	BA-18-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.213611110	-76.231666670	BA-30/31-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.203888890	-76.236666670	BA-30/31-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.136944440	-76.496944440	BA-43-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.128611110	-76.496666670	BA-43-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.345833330	-76.856388890	BA-79-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.355277780	-76.850555560	BA-79-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.456666670	-76.728888890	BA-92-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.441111110	-76.713888890	BA-92-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.903333330	-76.651944440	W-25-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.902500000	-76.641111110	W-25-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.028333330	-76.450000000	W-26-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	39.027500000	-76.428333330	W-26-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.774722220	-76.744722220	W-35-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.769722220	-76.730833330	W-35-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.710555560	-76.770555560	W-36-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.706944440	-76.760555560	W-36-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.652500000	-76.868611110	W-44-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.654722220	-76.855555560	W-44-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.642500000	-77.012500000	W-45-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.643611110	-77.015277780	W-45-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.720833330	-77.244722220	W-64-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.708888890	-77.252777780	W-64-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	38.815555560	-77.343055560	W-74-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
