type	latitude	longitude	name	desc
W	37.558888889	-122.096111111	SF-37-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
W	37.613333333	-122.458888889	SF-51-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
W	37.639444444	-122.478888889	SF-51-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
W	37.692222222	-122.447777778	SF-59-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
W	37.714722222	-122.501666667	SF-59-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
W	37.827500000	-122.498888889	SF-87-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
W	37.835000000	-122.530833333	SF-87-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
W	37.842222222	-122.531944444	SF-88-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
W	37.826666667	-122.527500000	SF-88-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	37.757777778	-122.457777778	SF-89-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	37.792222222	-122.473333333	SF-89-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	37.861388889	-122.430555556	SF-91-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	37.856388889	-122.422500000	SF-91-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	37.997777778	-122.502500000	SF-93-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	38.023888889	-122.520833333	SF-93-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	38.316111111	-121.871111111	T-10-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	38.317222222	-121.893611111	T-10-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	38.218611111	-121.847500000	T-33-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	38.221944444	-121.857222222	T-33-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	38.208888889	-121.941944444	T-53-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	38.202777778	-121.935555556	T-53-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	38.299166667	-121.999166667	T-86-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	38.276111111	-122.002222222	T-86-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-15">List of Nike missile sites</a>
W	41.339722222	-73.045000000	BR-04-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-16">List of Nike missile sites</a>
W	41.350555556	-73.048888889	BR-04-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-16">List of Nike missile sites</a>
W	41.267777778	-72.991944444	BR-15-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-16">List of Nike missile sites</a>
W	41.271666667	-72.979722222	BR-15-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-16">List of Nike missile sites</a>
W	41.228055556	-73.015833333	BR-17-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-16">List of Nike missile sites</a>
W	41.240000000	-73.004722222	BR-17-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-16">List of Nike missile sites</a>
W	41.128333333	-73.250277778	BR-65-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-16">List of Nike missile sites</a>
W	41.124722222	-73.263333333	BR-65-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-16">List of Nike missile sites</a>
