type,latitude,longitude,name
W,42.22222222,-71.06166667,B-55-CS
W,42.2,-71.0725,B-55-LS
W,42.29055556,-71.25472222,B-63-CS
W,42.27222222,-71.27277778,B-63-LS
W,42.40805556,-71.33222222,B-73-CS
W,42.40972222,-71.36027778,B-73-LS
W,42.49010556,-71.17763611,B-84-CS
W,42.47805556,-71.19166667,B-84-LS
W,42.49138889,-71.30361111,B-85-CS
W,42.50777778,-71.29472222,B-85-LS
W,42.64361111,-83.05916667,D-06-CS
W,42.65027778,-83.06833333,D-06-LS
W,42.59861111,-82.81777778,D-14-CS
W,42.59583333,-82.84861111,D-14-LS
W,42.59916667,-82.83055556,D-16-LS
W,42.6975,-82.575,D-17-CS
W,42.69472222,-82.56194444,D-17-LS
W,42.35666667,-82.94111111,D-23-CS
W,42.34527778,-82.95555556,D-23-LS
W,42.35611111,-82.94944444,D-26-CS
W,42.10777778,-83.155,D-51-CS
W,42.09777778,-83.15416667,D-51-LS
W,42.18305556,-83.19638889,D-54-CS
W,42.17444444,-83.19694444,D-54-LS
W,42.00166667,-83.36777778,D-57/58-CS
W,42.00555556,-83.34305556,D-57/58-LS
W,42.22833333,-83.35944444,D-61-CS
W,42.20222222,-83.35166667,D-61-LS
W,42.35805556,-83.25333333,D-69-CS
W,42.34083333,-83.24972222,D-69-LS
W,42.48666667,-83.29527778,D-86-CS
W,42.49166667,-83.30805556,D-86-LS
W,42.59666667,-83.47083333,D-87-CS
W,42.59916667,-83.46666667,D-87-LS
W,42.64472222,-83.22333333,D-97-CS
W,42.64305556,-83.23361111,D-97-LS
W,45.02166667,-92.56138889,MS-20-CS
W,45.02972222,-92.55361111,MS-20-LS
W,44.64333333,-93.16388889,MS-40-CS
W,44.57138889,-93.07694444,MS-40-LS
W,44.93527778,-93.75666667,MS-70-CS
W,44.95138889,-93.78111111,MS-70-LS
W,45.43944444,-93.33777778,MS-90-CS
W,45.44777778,-93.34611111,MS-90-LS
W,39.41527778,-94.17333333,KC-10-CS
W,39.435,-94.17277778,KC-10-LS
W,38.83111111,-94.16138889,KC-30-CS
