NAME (ENG),ALT NAMES,REF1,REF2,OBLAST,COUNTRY,IMGQUAL,ICAO,ICAOR,ICAOSRC,CAT,SIG,LATD,LATM,LATS,LOND,LONM,LONS,SRCLATLON (G=GoogleLowRes H=GoogleHighRes X=not found),ELEV1FT,ELEV1SRC,ELEV2FT,ELEV2SRC,ELEV3FT,ELEV3SRC,LAT,LON,MAG2010,R1L,R1W,R1DIMSRC (G=googlelowres H=googlehighres),R1HDG,R1NAM,R1SFC,R2LEN,R2WID,R2DIMSRC,R2HDG,R2OVRUNNE,R2OVRUNSW,R2NAM,R2SFC,R2dg,R2len,USE,OPR,MILPURPOSECODE,UNITS,NOTES,,,,,,,,,,
Ust-Kuyga,,4 km NE,Ust-Kujga,,RU,4,UEBT,,,N,3,70,0.6,N,135,38.7,E,G,98,T90,,,,,70.0100,135.6450,-17.0,1700,80,G,56,,GRAV,,,,,,,,,,,CIV,,,,Civilian aifield; a couple of buildings on site.,,,,,,,,,,
Kelegan,,4 km SW,Tenkeli,,RU,4,,,,N,,70,9.8,N,140,42.4,E,G,299,T90,,,,,70.1633,140.7067,-15.9,3000,50,G,29,,GRAV?,,,,,,,,,,,CIV,,,,Exact runway dimensions unavailable due to poor satellite imagery.  This is probably an industrial airfield.,,,,,,,,,,
Chokurdah,"Chokurdakh (US), Cokurdah",1 km N,Chokurdah,Yakutia,RU,5,UESO,,CD,M,5,70,37.5,N,147,53.9,E,G,194,T97,151,T90,,,70.6250,147.8983,-13.4,2000,50,A,66,08/26,ASPH,,,,,,,,,,,MIL/CIV,,,,Major airfield handling small transport aircraft.  Gravelled curved taxiways on north side suggest interceptors were based here.  Elevation given as 46 (TPC) and 35 (JNC).,,,,,,,,,,
Ostrov Vrangelya Somnitelnaya,Ostrov Wrangel,2 km NE,Zvezdnyy,Chukotka,RU,0,,,,x,2,70,57.0,N,179,37.0,W,?,249,T,,,,,70.9500,-179.6167,5.2,1585,?,T,?,?,DIRT,,,,,,,,,,,CIV,,,,Probably a civilian airfield.  Location is covered poorly by Google.,,,,,,,,,,
Salmiyarvi,,14 km SW,Salmiyarvi,Murmanskaya,RU,9,,,,M,0,69,19.8,N,29,59.1,E,G,299,G,,,,,69.3300,29.9850,,1200,50,G,36,,????,,,,,,,,,,,???,,,,Appears to be an old WWII airfield.  Appeared on GNC-3 1974 edition but was not listed as jet-capable.,,,,,,,,,,
Luostari/Pechenga,Luostari/Pechenga (US),8 km E,Zapolyarnyj,Murmanskaya,RU,9,,,,M,4,69,24.1,N,30,59.3,E,H,249,T00,,,,,69.4017,30.9883,13.0,1750,50,H,30,02/20,ASPH,,,,,,,,,,,MIL,,H,,"Former Cold War airfield which is the closest facility to the Norwegian border.  It became a helicopter base in the 1990s, operated by 258 OVE flying Mi-24K/R, Mi-35, and Mi-8 helicopters.  The helicopter regiment now appears to be gone, as Google high-res imagery showed no equipment based at the airfield, and the airfield is now in decay.  It appears there was an attempt to extend the runway to 2000 m at one time.",,,,,,,,,,
Koshka Yavr,,25 km SE,Zapolyarnyj,Murmanskaya,RU,4,,,,M,5,69,15.1,N,31,11.8,E,G,482,T00,495,?,,,69.2517,31.1967,13.0,3000,40,G,19,01/19,CONC,,,,,,,,,,,MIL,,Z,,"Minor, mediocre unattended airfield 83 km W of Murmansk, but with considerable runway length and small taxiway; is probably a forward deployment base.  Stands behind Pechenga as the closest base to Norway.",,,,,,,,,,
Kilpajarvi,"Kilpyavr (US), Kilp-Yavr, Kil'p-Yar, Kilp-Yar, Polyarn'y, Polyarnyy",30 km NW,Murmansk,Murmanskaya,RU,9,,,,M,5,69,5.7,N,32,24.1,E,G,249,T00,305,?,,,69.0950,32.4017,14.0,2490,45,H,44,03/21,CONC,,,,,,,,,,,MIL,,I,,"Small interceptor base operated by 941 IAP and possibly 9 IAP.  The airfield initially operated MiG-19, Su-9, and MiG-23M during the 1960s.  It saw an upgrade to 38 Su-27 aircraft starting in 1985.  It should be noted that Polyarny is also the name of an airfield at Yakutsk.  Satellite imagery taken around 2003 showed numerous fighter jets based at this airfield.",,,,,,,,,,
Severomorsk-1,"Safanovo (US), Severomorsk (US), Murmansk-Vayenga (DoD), Vayenga",4 km S,Severomorsk,Murmanskaya,RU,9,ULAK,,,M,8,69,1.8,N,33,25.5,E,C,239,T00,217,O88,,,69.0300,33.4250,14.0,3500,80,H,147,14/32,CONC,,,,,,,,,,,MIL,,BA,,"This is one of the two largest airfields in the Murmansk region.  The main resident unit is the 987 MRAP, flying Tu-22M and Tu-16 as late as the early 1990s.  Also operating from the airfield is 24 ODLAPDD, flying Il-38s in the early 1990s.  The 3000 m runway has a 500 m overrun on the north side, and the airfield can accommodate over 40 bombers and a small number of fighters.  It lies 4 km south of Severomorsk.  This airfield was referred to as Vayenga in a 1955 CIA intelligence estimate, citing an airfield 9.5 miles northeast of Murmansk.",,,,,,,,,,
Severomorsk-2,"Safonovo (USSR), Murmansk Northeast (US)",7 km SW,Severomorsk,Murmanskaya,RU,9,,,,M,6,69,0.9,N,33,17.5,E,G,272,T00,253,?,230,O88,69.0150,33.2917,14.0,1900,40,G,163,15/33,ASPH,,,,,,,,,,,MIL,,U,,"Small airfield halfway between Severomorsk and Murmansk (11 km NE of Murmansk).  It was home to 403 ODLAP, flying 24 Be-12 aircraft as late as the early 1990s.  It appears this regiment is now gone and the airfield is in a state of decay.  The runway originally had an 80 m width but only 40 m is usable.",,,,,,,,,,
Vostochnyy Kildin,Ostrov Kildin (US),41 km NE,Severomorsk,Murmanskaya,RU,4,,,,A,2,69,19.0,N,34,10.7,E,G,75,,,,,,69.3167,34.1783,15.0,1850,40,G,94,08/26,ASPH,,,,,,,,,,,MIL,,,,Appears to be an old attack airfield or forward deployment field; no facilities.,,,,,,,,,,
Amderma,,4 km W,Amderma,Novaya Zemlya,RU,4,ULDD,,CD,M,6,69,45.8,N,61,33.6,E,G,13,,,,,,69.7633,61.5600,26.0,2600,50,A,99,08/26,PLAT,,,,,,,,,,,MIL,PVO,I,,"Interceptor airfield operated by the 72 Gv IAP (given by some sources as 74 IAP), which was flying at least 31 MiG-31 aircraft in the early 1990s.  The facility is a simple concrete airfield built on a spit along the ocean.  There is some limited tarmac space for deployed aircraft.",,,,,,,,,,
Antipayuta,,1 km N,Antipayuta,,RU,4,USDI,,,N,1,69,6.1,N,76,51.4,E,G,79,Z,,,,,69.1017,76.8567,24.0,300,30,G,78,05/23,DIRT,,,,,,,,,,,CIV,,,,"Minor airstrip, position uncertain.",,,,,,,,,,
Dudinka,,3 km S,Dudinka,Krasnoyarski krai,RU,4,UROD,,,M,4,69,22.5,N,86,9.4,E,G,82,,,,,,69.3750,86.1567,20.0,1454,28,A,32,01/19,CONC,,,,,,,,,,,CIV,,,,Services small transport aircraft.,,,,,,,,,,
Norilsk/Alykel,,35 km W,Norilsk,Krasnoyarski krai,RU,4,UOOO,,CD,M,8,69,18.7,N,87,20.0,E,CD,574,D,,,,,69.3117,87.3333,19.0,3441,45,D,32,01/19,CONC,,,,,,,,,,,CIV/MIL,"OGA,PVO",I,,"Alykel is the only functional airfield around Norilsk.  It handles medium-sized airliners; 24 hour operations.  Designated as emergency airfield for cross-polar route.  Created in late 1950s, it has been a OGA (Arctic Control Group) facility providing staging for Soviet bombers to reach the U.S.  It has also served as an interceptor airfield, operated by 57 IAP flying at least 24 Su-15TM aircraft in 1991.",,,,,,,,,,
Valek,,9 km NE,Norilsk,Krasnoyarski krai,RU,9,UOOW,,,M,4,69,23.7,N,88,21.3,E,G,108,O,,,,,69.3950,88.3550,18.0,1550,25,H,151,13/31,MIXD,,,,,,,,,,,?,,,,Airfield with unknown purpose about 8 km northeast of Norilsk.  Runway length is ambiguous due to severe deterioration of original runway.,,,,,,,,,,
Deputatskiy,,7 km N,Deputatskiy,,RU,9,UEWD,,,N,2,69,23.5,N,139,53.2,E,C,791,?,896,T90,,,69.3917,139.8867,-16.0,2200,25,H,87,10/28,GRAV,,,,,,,,,,,CIV,,,,A minor civilian airfield.  Runway boundaries not demarcated.,,,,,,,,,,
Ozhogino,,1 km W,Poluosnyy,,RU,4,,,,N,,69,12.4,N,147,15.9,E,G,98,T97,,,,,69.2067,147.2650,,1000,30,G,131,,GRAV,,,,,,,,,,,,,,,Minor civilian airfield.,,,,,,,,,,
Andrushkino,,,,,RU,,UESA,,C,X,,69,12.0,N,154,26.0,E,C,33,G,,,,,69.2000,154.4333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresba,Krumaya,343 km W,Pevek,Chukotskiy,RU,4,,,,a,0,69,21.8,N,161,33.7,E,G,272,S,,,,,69.3633,161.5617,-6.0,3500,40,G,161,17/35,CONC,,,,,,,,,,,-,,,,"Appears to be a never-completed bomber staging field, likely constructed around 1960.  Significant runway and taxiway patterns faintly appear on satellite.  Near village Mikhalkino.  Some sort of radar facility exists 14 km NW at 69-28N 161-23E.  Declassified satellite imagery shows the base existed in 1966 and was in good shape.",Thread: <http://www.avia.ru/cgi/discshow.cgi?id=5714221121916122707871106457037&topiccount=32>,,,,,,,,,
Pevek,,15 km NE,Pevek,Chukotskiy,RU,9,UHMP,,CD,M,6,69,47.0,N,170,35.8,E,D,10,D,,,,,69.7833,170.5967,0.0,2500,42,D,167,17/35,CONC,,,,,,,,,,,CIV,,,,Services medium-sized airliners.  May have served as interceptor base for northeast Arctic.  Elevation is given as 3 (TPC) and 14 (JNC).,,,,,,,,,,
Komsomolskiy,,4 km SW,Komsomolskiy,Chukotskiy,RU,4,,,,N,1,69,7.0,N,172,39.2,E,G,623,T,,,,,69.1167,172.6533,0.0,600,25,G,88,09/27,GRAV,,,,,,,,,,,CIV,,,,Confidence in position is low to moderate; this is the only possible airstrip in area indicated by TPC C-7B.,,,,,,,,,,
