NAME (ENG),ALT NAMES,REF1,REF2,OBLAST,COUNTRY,IMGQUAL,ICAO,ICAOR,ICAOSRC,CAT,SIG,LATD,LATM,LATS,LOND,LONM,LONS,SRCLATLON (G=GoogleLowRes H=GoogleHighRes X=not found),ELEV1FT,ELEV1SRC,ELEV2FT,ELEV2SRC,ELEV3FT,ELEV3SRC,LAT,LON,MAG2010,R1L,R1W,R1DIMSRC (G=googlelowres H=googlehighres),R1HDG,R1NAM,R1SFC,R2LEN,R2WID,R2DIMSRC,R2HDG,R2OVRUNNE,R2OVRUNSW,R2NAM,R2SFC,R2dg,R2len,USE,OPR,MILPURPOSECODE,UNITS,NOTES,,,,,,,,,,
Gorodnya,"Horodnya, Horodnye, Gorodnye",4 km E,Gorodnya,,UA,,,,,M,,51,53.0,N,31,38.7,E,G,489,,,,,,51.8833,31.6450,,2500,40,G,147,,CONC,,,,,,,,,,,MIL,,T,703 UAP (101 L-39C).,(Thanks to AviaMK for this find),,,,,,,,,,
Chernigov,Chernihiv,5 km N,Chernihiv,,UA,,,,,M,4,51,32.9,N,31,18.8,E,G,446,,,,,,51.5483,31.3133,,2500,60,G,106,,CONC,,,,,,,,,,,MIL,,T,"701 UAP (101 L-39C, 1992).",Appears to be a large forward deployment base.  Probably abandoned (AviaMK).,,,,,,,,,,
Chernigov/Shestovitsa,Chernihiv,15 km SW,Chernihiv,,UA,,UKRR,,,M,,51,24.1,N,31,9.5,E,H,446,,,,,,51.4017,31.1583,,2200,42,H,92,09/27,ASPH,,,,,,,,,,,CIV,,,Civilian,Services small airliners.  Utilitarian general aviation field (AviaMK).,,,,,,,,,,
Nezhin,Nezhine,4 km N,Nezhin,Kievskaya,UA,,,,,M,,51,5.3,N,31,52.1,E,G,440,,,,,,51.0883,31.8683,,3000,80,G,79,,CONC,,,,,,,,,,,MIL,,R,"199 ODRAP (Tu-22R, 1960s, 1991)[#2][#6], (Tu-22RDK, 1991)[#2], (Tu-22K, 1991)[#2], (Tu-22UD, 1991)[#2].",Medium-sized bomber base with modern design.  Has 33 large revetments along curved taxiway.,,,,,,,,,,
Konotop,,4 km W,Konotop,,UA,,,,,M,6,51,14.6,N,33,8.9,E,G,476,,,,,,51.2433,33.1483,,2000,30,G,20,,CONC,,,,,,,,,,,MIL,,T,105 UAP (101 L-39).,Training base.,,,,,,,,,,
Chervonoye-Pustogorod,,22 km NE,Hlukhiv,,UA,,,,,M,2,51,51.2,N,34,3.3,E,G,636,,,,,,51.8533,34.0550,,2500,40,G,168,,CONC,,,,,,,,,,,MIL,,Z,Military,Appears to be a forward deployment base.,,,,,,,,,,
Belaya,,3 km SE,Belaya,,RU,,,,,N,,51,2.0,N,35,44.0,E,C,525,G,,,,,51.0333,35.7333,,650,60,C,26,,DIRT,,,,,,,,,,,CIV,,,Civilian,Poor quality Google imagery; position needs to be refined.  Not to be confused with the very large Belaya airfield.,,,,,,,,,,
Sudzha,,,,,RU,,,,,N,,51,13.0,N,35,20.0,E,C,,,,,,,51.2167,35.3333,,650,40,C,46,,DIRT,,,,,,,,,,,CIV,,,,,,,,,,,,,,
L'gov,,6 km NE,L'gov,,RU,,,,,N,,51,40.0,N,35,20.0,E,C,,,,,,,51.6667,35.3333,,800,120,C,96,,DIRT,,,,,,,,,,,CIV,,,,,,,,,,,,,,
Kursk/R'zhkovo,,10 km S,Kursk,,RU,,XUOS,,,,,51,39.3,N,36,11.3,E,C,548,C,,,,,51.6550,36.1883,,800,60,C,76,07/25,DIRT,,,,,,,,,,,,,,,,,,,,,,,,,
Kursk/Khalino,"Kursk/Vostochny, Kursk East (US)",7 km E,Kursk,Kurskaya,RU,,UUOK,,CD,M,,51,45.0,N,36,17.7,E,D,686,D,,,,,51.7500,36.2950,7.0,2500,40,D,124,12/30,CONC,,,,,,,,,,,MIL,,I,"472 IAP (MiG-23P, 1991-1994) [#1].  14 IAP (MiG-29)[#7].","Medium-sized base 4 miles northeast of Kursk.  Several alert pads, with civilian tarmac on other side of airfield. Listed as civilian in DAFIF.",,,,,,,,,,
Tim,,,,,RU,,,,,,,51,37.0,N,37,10.0,E,C,,,,,,,51.6167,37.1667,,400,30,C,126,,GRAV,,,,,,,,,,,CIV,,,,,,,,,,,,,,
Staryy Oskol,,6 km NW,Staryy Oskol,,RU,,UUOS,,C,M,4,51,19.8,N,37,46.2,E,H,718,C,,,,,51.3300,37.7700,,1800,42,C,49,,CONC,,,,,,,,,,,CIV,,,Civilian,Small civilian airport.,,,,,,,,,,
Gorshechnoye,,5 km NE,Gorshechnoye,,RU,,,,,N,,51,32.0,N,38,5.0,E,C,750,G,,,,,51.5333,38.0833,,600,60,C,96,,DIRT,,,,,,,,,,,CIV,,,Civilian,,,,,,,,,,,
Kastornoye,,5 km SW,Kastornoye,,RU,,,,,N,,51,48.0,N,38,5.0,E,C,652,G,,,,,51.8000,38.0833,,650,60,C,126,12/30,DIRT,,,,,,,,,,,CIV,,,,,,,,,,,,,,
Voronezh/Gremyach'e,,26 km SW,Voronezh,,RU,,XUOG,,C,N,,51,28.0,N,38,58.0,E,C,656,C,,,,,51.4667,38.9667,,290,15,C,354,17/35,CONC,2200,60,C,,,,,DIRT,,,CIV/MIL,,,Mixed.,Probably a former helicopter base.,,,,,,,,,,
Voronezh/Chertovitskoye,Chertovitsi,11 km N,Voronezh,,RU,,UUOO,,CD,M,,51,48.9,N,39,13.8,E,CD,515,CD,,,,,51.8150,39.2300,8.0,2300,49,CD,131,13/31,CONC,700,100,C,41,,,,DIRT,,,CIV,,,"Mixed use.  55 IISAP (11 MiG-25, 1991)[#4] (15 Su-24,1991)[#4] (5 Su-17, 1991)[#4].  455 IIISAP (Su-24, Su-17C, MiG-25).  5 ODRAO (An-30)[#7].",Services medium-sized airliners; handles up to 44 mixed aircraft.  Tarmac only; no revetments.,,,,,,,,,,
Voronezh/Pridacha,"Repnoe, Voronezh East (US)",5 km E,Voronezh,,RU,,XUOD,,C,M,,51,39.2,N,39,15.4,E,G,358,C,,,,,51.6533,39.2567,,2400,50,C,37,,ASPH,,,,,,,,,,,CIV,,,Civilian,"Voronezh Aircraft Plant (VASO).  The Tu-144, Il-86, and Il-96 was built here.",,,,,,,,,,
Voronezh/Baltimor,"Malshevo, Mal'shevo, Voronezh Southwest (US)",7 km SW,Voronezh,,RU,,XUOW,,C,M,,51,37.1,N,39,8.4,E,H,525,C,,,,,51.6183,39.1400,,2500,48,C,116,11/29,CONC,,,,,,,,,,,?,,,Military?,Nuclear bomber base accoridng to NRDC.,,,,,,,,,,
Zherdevka,,7 km E,Zherdevka,,RU,,,,,M,,51,50.0,N,41,33.3,E,G,489,,,,,,51.8333,41.5550,,2500,40,G,154,,CONC,,,,,,,,,,,MIL,,I,"14 IAP (MiG-29E,1994-2004).",No revetments.,,,,,,,,,,
Borisoglebsk,Borisoglebsk East (US),6 km E,Borisoglebsk,,RU,,,,,M,,51,22.0,N,42,10.0,E,H,400,C,,,,,51.3667,42.1667,,2500,40,G,121,12/30,CONC,,,,,,,,,,,MIL,,T,"160 IIAP (60 MiG-21, 1991)[#4] (25 MiG-29E,1991,1994)[#4] (MiG-29,2003).  1080 UATPLS (Mi-8).",Small military airfield.,,,,,,,,,,
Povorino,,13 km SW,Povorino,,RU,,,,,M,3,51,5.4,N,42,10.4,E,H,299,,,,,,51.0900,42.1733,,2500,40,H,123,,CONC,,,,,,,,,,,MIL,,,Military,Decaying military airfield.  No aircraft stationed at this base.,,,,,,,,,,
Shepelevka,,5 km SE,Turki,,RU,,,,,A,,51,55.8,N,43,17.8,E,G,597,T93,,,,,51.9300,43.2967,,2150,30,G,174,,UNKN,,,,,,,,,,,MIL,,,,Appears to be an abandoned military airfield from the 1940s or 1950s.  It has been demolished at least 10 or 20 years ago and little trace remains.,,,,,,,,,,
Balashov/City,,2 km S,Balashov,,RU,,,,,N,,51,31.7,N,43,10.6,E,G,535,T93,,,,,51.5283,43.1767,,1200,30,G,76,,DIRT,,,,,,,,,,,,,,,"Small dirt airfield with a number of aircraft on site, including one Il-76 jet cargo transport.",,,,,,,,,,
Balashov,"Balashov Southeast (US), Balasov",9 km E,Balashov,,RU,,,,,M,4,51,31.9,N,43,18.1,E,H,568,,,,,,51.5317,43.3017,,2000,50,H,178,17/35,CONC,,,,,,,,,,,$,,,Military,Small attack deployment airfield.,,,,,,,,,,
Atkarsk,Atkarsk Southeast (DoD),11 km SE,Atkarsk,,RU,,,,,M,1,51,48.2,N,45,6.8,E,G,755,,,,,,51.8033,45.1133,,1000,80,G,32,,CONC,,,,,,,,,,,CIV,,,Civilian,"Small paved civilian airstrip, unattended.",,,,,,,,,,
Saratov/West,,12 km W,Saratov,,RU,,,,,M,3,51,32.4,N,45,50.9,E,H,945,T93,,,,,51.5400,45.8483,,2000,48,G,90,,CONC,,,,,,,,,,,?,,,Unknown,"A small, old former military training airfield or general aviation airport.  Used for helicopter operations or storage.",,,,,,,,,,
Saratov/South,,8 km SW,Saratov,,RU,,,,,M,4,51,28.7,N,45,56.6,E,H,266,T93,,,,,51.4783,45.9433,,1750,68,H,51,04/22,CONC,,,,,,,,,,,$,,,Military,Yakovlev factory airfield (AviaMK).  Appears to be a very old military airfield.  There are 17 parking stands and tarmac space.,,,,,,,,,,
Saratov/Tsentralny,,5 km N,Saratov,,RU,,UWSS,,CD,M,,51,33.9,N,46,2.8,E,D,499,D,509,T93,,,51.5650,46.0467,9.0,2281,42,D,131,12/30,ASPH,,,,,,,,,,,CIV,,,Civilian,Civil Airport which can carry most types of jet liners (AviaMK). ,,,,,,,,,,
Saratov/Sharapovka,,12 km N,Saratov,,RU,,,,,x,,51,38.7,N,46,2.9,E,T,545,T93,,,,,51.6450,46.0483,,1615,20,T,,,,,,,,,,,,,,,,,,Location uncertain; coordinates taken from 1993 TPC chart.,,,,,,,,,,
Engels,Zngyelse,14 km E,Saratov,,RU,,,,,M,,51,28.8,N,46,12.8,E,H,135,T93,121,?,,,51.4800,46.2133,,3500,100,H,47,04/22,CONC,,,,,,,,,,,MIL,DA,B,"200 TBAP (Tu-160, Tu-134UBL), 1994.  1096 TBAP (Tu-22), 1980s, disbanded 1989.  1230 APSZ (3MS2 1965-) (Il-78).  ZMD, ZMS-2.  121 TBAP (Tu-160, 1991)[#2], (19 Tu-95MS, 1991, 2004)[#2], (Tu-134UBK, 1991)[#2].  511 IAP.  203 GV APSZ (Il-78, 1991)[#2]","Engels is a major bomber operations base, and is Russia's sole operating location for the Tu-160.  Contains very large tarmac and about 10 large revetments.  Was to have received first Tu-160 in 1987 but it went to Priluki, which had Tu-22M experience.  Only 7 operational Tu-160s in 2001.  Home to 22 GV TBAD.",,,,,,,,,,
Lebedovo,Dolinniye,18 km SE,Privolzsky,,RU,,,,,A,,51,17.0,N,46,15.6,E,G,259,T93,249,?,,,51.2833,46.2600,,3000,40,G,16,,CONC,,,,,,,,,,,-,,,Abandoned,"There is evidence of an old base here, with old GNC charts showing the airfield and faint runway patterns in the crop fields.  It was probably an alternate site for Engels bombers.",,,,,,,,,,
Balakovo,Balakovo South (DoD),19 km S,Balakovo,,RU,,UWSB,,,M,,51,51.5,N,47,44.7,E,G,164,T93,95,?,,,51.8583,47.7450,9.0,2507,42,G,39,03/21,CONC,,,,,,,,,,,CIV,,,Civilian,Civilian airport serciving medium-sized airliners up to Tu-154 and Il-76.,,,,,,,,,,
Pugachev,Pugachev Southeast (US),7 km SW,Pugachev,,RU,,,,,M,3,51,58.6,N,48,43.2,E,G,118,,,,,,51.9767,48.7200,9.0,2300,30,G,159,,ASPH,,,,,,,,,,,CIV,,,Civilian,Minor but well-maintained civilian airfield.,,,,,,,,,,
Gornyy,,7 km SE,Gornyy,,RU,,,,,A,0,51,44.7,N,48,38.1,E,H,476,,,,,,51.7450,48.6350,9.0,2000,40,G,76,,????,,,,,,,,,,,-,,,Abandoned,Former military base plowed under into farmland.,,,,,,,,,,
Uralsk/Ak Zhol,Podstepnyy,12 km SE,Uralsk,,KZ,,UARR,,D,M,,51,9.1,N,51,32.6,E,D,125,D,148,T93,,,51.1517,51.5433,9.0,2400,42,D,52,04/22,CONC,,,,,,,,,,,CIV,,,Civilian,Small airport servicing medium-sized airliners; parks 4 jets.,,,,,,,,,,
Cheben'ki,"Chebenki, Orenburg Northeast (US), Dmitrievka",38 km NE,Orenburg,,RU,,,,,M,6,51,58.4,N,55,32.9,E,H,400,,,,,,51.9733,55.5483,10.0,2500,40,H,91,,CONC,,,,,,,,,,,MIL,FA,AH,"(Su-17) (MiG-23).  118 OVZ (Mi-6, Mi-8)","Reveted areas for 15 fighters, 8 large aircraft, and considerable tarmac space. Satellite imagery shows hundreds of MiG-23 and Su-17 fighter aircraft.",,,,,,,,,,
Orenburg/Tsentralny,Orenburg Central (Jeppesen),25 km E,Orenburg,,RU,,UWOO,,CD,M,,51,47.8,N,55,27.4,E,CD,387,CD,,,,,51.7967,55.4567,10.0,2500,42,CD,90,08/26,CONC,,,,,,,,,,,CIV,,,Civilian,Services small airliners; parking for 31 aircraft.,,,,,,,,,,
Orenburg,Orenburg Southwest (US),9 km SW,Orenburg,,RU,,,,,M,5,51,42.5,N,55,1.1,E,H,367,,,,,,51.7083,55.0183,,2500,44,H,123,11/29,CONC,,,,,,,,,,,MIL,VTA,C,"128 GV TAD (Il-76M, beginning 1992).  117 OVTAP (Il-76, An-12) [#4][#7].","Large tarmac and revetments for 6 large transports.  Not Chalovskiy, according to Vladimir [14][15].  Numerous Il-76 jets are parked at this airfield.",,,,,,,,,,
Akyar,,???,???,,RU,,UWOA,,,x,,51,55.0,N,58,46.0,E,,0,,,,,,51.9167,58.7667,,1500,90,,,08/26,ASPH,,,,,,,,,,,,,,,,,,,,,,,,,
Orsk,,16 km S,Orsk,,RU,,UWOR,,CD,M,,51,4.4,N,58,35.7,E,D,909,D,,,,,51.0733,58.5950,10.0,2911,42,D,77,07/25,ASPH,,,,,,,,,,,CIV,,,Civilian,Services medium-sized airliners.,,,,,,,,,,
Ashchebutak,,40 km SE,Novoorsk,,RU,,,,,A,1,51,2.1,N,59,10.1,E,G,741,,,,,,51.0350,59.1683,,3400,70,G,79,,CONC,,,,,,,,,,,MIL,,,Military,Appears to be an abandoned airfield; no buildings; may have been abandoned in 1970s.  Not shown on ONC.,,,,,,,,,,
Severnyy,,200 km E,Orsk,,RU,,,,,A,0,51,4.2,N,61,28.9,E,G,850,,,,,,51.0700,61.4817,,3500,50,G,11,,CONC,,,,,,,,,,,MIL,,,Military,Appears to be a 1960s-era bomber base.  Mostly plowed under but 8 large pads are noted.  Located only 3 km from Kazakhstan border to east.,,,,,,,,,,
Atbasar,,5 km N,Atbasar,,KZ,,,,,N,2,51,51.1,N,68,21.8,E,G,1010,,,,,,51.8517,68.3633,,1500,50,G,42,,GRAS,,,,,,,,,,,CIV,,,Civilian,Small unpaved airstrip with small loop taxiway feeding a small parking area; two buildings onsite.,,,,,,,,,,
Astana,"Akmola, Astana, Tselinograd South (US)",18 km S,Astana,,KZ,,UACC,,CD,M,,51,1.3,N,71,28.0,E,CD,1165,CD,,,,,51.0217,71.4667,9.0,3501,45,CD,45,04/22,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian airfield; listed in Jeppesen terminal guides.,,,,,,,,,,
Ekibastuz,,16 km SW,Ekibastuz,,KZ,,UASB,,,M,,51,35.3,N,75,12.9,E,G,774,,,,,,51.5883,75.2150,,2500,42,G,54,05/23,ASPH,,,,,,,,,,,CIV,,,Civilian,Services small airliners.,,,,,,,,,,
Rubtsovsk,,6 km N,Rubtsovsk,,RU,,UNBR,,,M,,51,35.3,N,81,12.3,E,G,709,,,,,,51.5883,81.2050,,1600,35,G,32,03/21,ASPH,,,,,,,,,,,CIV,,,Civilian,,,,,,,,,,,
Gorno-Altaysk,,9 km W,Gorno-Altaysk,,RU,,UWBG,,,M,,51,58.4,N,85,5.3,E,H,965,,,,,,51.9733,85.0883,,1300,38,H,25,02/20,ASPH,,,,,,,,,,,CIV,,,Civilian,Small airliners.  A couple of helicopters and Li-2 aircraft are based here.,,,,,,,,,,
Kyzyl,Kyzyl South (US),4 km S,Kyzyl,Tuva,RU,,UNKY,,CD,M,,51,40.2,N,94,24.1,E,H,2123,,,,,,51.6700,94.4017,,2700,45,H,52,05/23,CONC,,,,,,,,,,,CIV,,,Civilian,Handles small airliners.,,,,,,,,,,
Kyren,,1 km SE,Kyren,,RU,,,,,M,3,51,40.7,N,102,9.5,E,G,2290,,,,,,51.6783,102.1583,,1775,30,G,91,,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian airport; asphalt runway with tarmac.,,,,,,,,,,
Ulan Ude/Vostochny,Ulan Ude East (US),9 km E,Ulan Ude,Buryatiya,RU,9,,,,M,,51,51.0,N,107,44.1,E,H,1670,,,,,,51.8500,107.7350,,3000,70,H,79,08/26,CONC,,,,,,,,,,,CIV,,,Civilian,"Services medium-size airliners.  Appears to be a former bomber staging base.  Runway was originally built at 70 m width but only 40 m is usable throughout its length.  Considerable tarmac space, with three 400x125m tarmacs and a few alert revetments.  Only a few helicopters and An-72 aircraft remain.",,,,,,,,,,
Ulan Ude/Mukhino,Mukhino (US),13 km W,Ulan Ude,Buryatiya,RU,,UIUU,,CD,M,,51,48.5,N,107,26.4,E,CD,1690,CD,,,,,51.8083,107.4400,-4.0,3014,46,C,78,08/26,CONC,,,,,,,,,,,CIV,,,Civlian,Services medium-sized airliners; parking area handles 8 jets and 41 smaller aircraft.  CAICA 2000 gave runway as 2997 x 45 m.,,,,,,,,,,
Bada,"Bata, Bada North (US)",3 km NE,Bada,,RU,9,,,,M,,51,24.4,N,109,54.0,E,H,2500,,,,,,51.4067,109.9000,,2500,45,H,84,,CONC,,,,,,,,,,,MIL,FA,A,21 BAP (Su-24).  313 BAP (Su-24MR)[#7].,"Several clusters of remote revetments for fighter aircraft, and large tarmac.  Forward aviation base.",,,,,,,,,,
Domna,,27 km SW,Chita,Chita,RU,9,,,,M,,51,55.0,N,113,7.1,E,H,2280,,,,,,51.9167,113.1183,,2500,45,H,113,,CONC,,,,,,,,,,,MIL,FA,IAR,"733 BAP (Su-24, 1991).  120 IAP (MiG-23MLD, 1991) (MiG-29, 1993-2003-)[#7].  125 GV ORAP (Su-17M3R,1988) (26 Su-24MR, 1989,1991).  114 BAP (Su-24,disbanded ~1992).","Large, hardened base with six areas of revetments probably holding 50 fighter aircraft.  Domna means ""blast furnace"".",,,,,,,,,,
Karaksar,,42 km NE,Olovyannaya,,RU,4,,,,A,0,51,16.8,N,115,51.3,E,G,2051,,,,,,51.2800,115.8550,,2500,30,G,154,,????,,,,,,,,,,,-,,,Demolished,"Former airfield with taxiways and tarmac, likely military, demolished.",,,,,,,,,,
Step/Olovyannaya,Step,14 km NW,Yasnogorsk,Chita,RU,9,,,,M,,51,1.2,N,115,25.7,E,H,2329,,,,,,51.0200,115.4283,,2500,40,H,76,,CONC,,,,,,,,,,,MIL,FA,A,"6 APIB (Su-17,1988) under 23rd Air Army (Trans-Baikal). 58 APIB (Su-17M3+L29,1988) (MiG-27, 1991) under 23rd Air Army (Trans-Baikal).  266 OSHAP (Su-25)[#7].",Large air base with two revetment areas and numerous military fortifications.  Near SS-11 missile field that was dismantled in mid 1990s.,,,,,,,,,,
Balei,,2 km E,Balei,,RU,,,,,M,3,51,33.7,N,116,42.2,E,G,2136,,,,,,51.5617,116.7033,,1850,30,G,70,,CONC,,,,,,,,,,,CIV,,,Civilian,Civilian airport with tarmac.,,,,,,,,,,
Gazimurskiy Zavod,,1 km E,Gazimurskii Zavod,,RU,,,,,M,2,51,32.8,N,118,22.2,E,G,2500,,,,,,51.5467,118.3700,,1250,20,G,97,,ASPH,,,,,,,,,,,CIV,,,Small civilian airfield with small tarmac.,Civilian airport with dirt runway.,,,,,,,,,,
Shimanovsk,,4 km SW,Shimanovsk,,RU,,,,,M,3,51,59.1,N,127,38.6,E,G,869,T91,,,,,51.9850,127.6433,,1350,30,G,157,,CONC,,,,,,,,,,,CIV,,,Civilian,Very small utilitarian airport.,,,,,,,,,,
Svobodnyy,,12 km N,Svobodnyy,,RU,9,,,,M,3,51,27.4,N,128,5.8,E,H,600,T91,,,,,51.4567,128.0967,,1030,30,G,160,,GRAV,,,,,,,,,,,CIV,,,Civilian,Small civilian airfield with large unpaved parking area.  Several Li-2s parked on the airfield.,,,,,,,,,,
Orlovka,"Orlovke, Vernoye, Vernoye-Orlovka",8 km N,Vernoye,,RU,4,,,,M,,51,15.9,N,128,43.2,E,G,850,,,,,,51.2650,128.7200,,2500,40,G,151,,CONC,,,,,,,,,,,MIL,PVO,I,"404 IAP (MiG-23P, Su-27, starting 1974, ended 2000)[#5].  41 IAP (MiG-29 starting 1987, 1991)[#4].",Hardened airfield with large central tarmac area.  Located near the bomber base Ukrainka.  The 404 IAP was dissolved into 23 IAP Dzemgi.,,,,,,,,,,
Ukrainka,,28 km N,Belogorsk,Amur,RU,8,,,,M,8,51,10.2,N,128,26.7,E,H,771,,,,,,51.1700,128.4450,,3500,80,H,152,,CONC,,,,,,,,,,,MIL,DA,B,"73 TBAP (16 Tu-95MS16, 26 Tu-95MS6, 1996, from Dolon).  40 GV TBAP (3M 1957-) (Tu-95K 1980, 1991)[#2] (Tu-95MS, 1991)[#2] (Tu-134, 1991)[#2], (An-26, 1991)[#2].  79 GV TBAP (3M 1957-) (Tu-95K 1982, 1991)[#2], (Tu-95KM, 1991)[#2], (Tu-95MS, 1991)[#2].  182","This is a major strategic bomber base that is still active.  Sister of Zavitinsk and close to the interceptor field Orlovka.  Served Tu-22 in 1960s-1970s.  Large air base, large tarmacs and nearly 40 revetments.",,,,,,,,,,
Novokiyevskiy Uval,,2 km E,Novokiyevskiy Uval,,RU,4,,,,x,,51,39.7,N,128,56.4,E,G,600,T91,,,,,51.6617,128.9400,,600,,,,,DIRT,,,,,,,,,,,,,,,Exact location uncertain.  Grass airfield on east side of town.,,,,,,,,,,
Chegdomyn,,4 km NW,Chegdomyn,,RU,,,,,N,,51,8.2,N,132,56.5,E,G,1152,T91,,,,,51.1367,132.9417,,1200,40,G,116,,GRAV,,,,,,,,,,,,,,,Well-maintained gravel airstrip serving the Chegdomyn and Urga area.,,,,,,,,,,
Gorin,,4 km SW,Gorin,Amur,RU,9,,,,A,,51,10.3,N,136,38.1,E,H,492,T,,,,,51.1717,136.6350,-12.0,3000,40,H,12,02/20,CONC,,,,,,,,,,,MIL,,Z,Military,This was a major remote deployment airfield that is now being demolished.  It is located 75 km NW of Komsomolsk-na-Amur.  The airfield featured a 1 km long remote tarmac on the north side.  The airfield is now largely demolished and nearly all paved surfaces have been removed.,,,,,,,,,,
Tsimmermanovka,,1 km S,Tsimmermanovka,Amur,RU,,,,,N,2,51,20.0,N,139,14.8,E,G,171,T,,,,,51.3333,139.2467,-12.0,600,20,G,77,09/27,DIRT,,,,,,,,,,,CIV,,,Civilian,Minor civilian airstrip.,,,,,,,,,,
Marinskoye,,2 km NE,Marinskoye,,RU,,,,,N,2,51,43.5,N,140,14.0,E,G,66,,,,,,51.7250,140.2333,-12.0,950,30,G,161,17/35,CONC,,,,,,,,,,,CIV,,,Civilian,Minor civilian airstrip.,,,,,,,,,,
Viakhtu,,5 km S,Viakhtu,,RU,,,,,N,2,51,34.2,N,141,56.0,E,G,10,T,,,,,51.5700,141.9333,-12.0,1100,20,G,149,16/34,DIRT,,,,,,,,,,,CIV,,,Civilian,Minor civilian airstrip.,,,,,,,,,,
Nogliki,,2 km S,Nogliki,,RU,8,UHSN,,,M,6,51,47.0,N,143,8.5,E,H,98,T84,,,,,51.7833,143.1417,,1750,35,H,26,04/22,ASPH,,,,,,,,,,,CIV,,,,"Major airfield capable of handling jet airliners, serving northeast Sakhalin Island.",,,,,,,,,,
Khovtnevoe,,11 km NE,Volodymyr-Volyns'kyy,,UA,,,,,M,4,50,54.6,N,24,27.3,E,G,699,,,,,,50.9100,24.4550,,2500,40,G,1,,CONC,,,,,,,,,,,MIL,,Z,Military,Appears to be a forward staging base.  Small remote parking with a few reveted areas.  This base is only about 40 km from the Polish border.,,,,,,,,,,
Lutsk (Military),Lutsk North (US),4 km N,Lutsk,,UA,,,,,M,5,50,47.4,N,25,20.9,E,H,640,,,,,,50.7900,25.3483,,2500,44,H,67,06/24,CONC,,,,,,,,,,,MIL,FA,A,"806 BAP (Su-22M, 1992).",Small military base; long tarmac with several reveted areas.,,,,,,,,,,
Lutsk (Civil),Lutsk Southeast (US),14 km SE,Lutsk,Bolynskaya,UA,,UKLC,,,M,4,50,40.7,N,25,29.3,E,G,774,,,,,,50.6783,25.4883,,1660,42,G,68,07/25,ASPH,,,,,,,,,,,CIV,,,Civilian,Handles small aircraft.,,,,,,,,,,
Dubno,Dubno Northeast (US),7 km NE,Dubno,,UA,,,,,M,5,50,26.7,N,25,50.3,E,G,735,,,,,,50.4450,25.8383,,2500,40,G,104,,CONC,,,,,,,,,,,MIL,,,Military,"Military base with several angled taxiways, capable of parking about 50 fighters.",,,,,,,,,,
Brody,Brody North (US),6 km N,Brody,,UA,,,,,M,3,50,7.8,N,25,10.2,E,G,787,,,,,,50.1300,25.1700,,2000,30,G,82,,CONC,,,,,,,,,,,MIL,,Z,Military,Possibly a forward staging base.  Long parking tarmac with remote parking stands.,,,,,,,,,,
Rovno,Rivne (US),8 km W,Rovno,,UA,,UKLR,,D,M,4,50,36.4,N,26,8.5,E,D,755,D,,,,,50.6067,26.1417,5.0,2626,42,D,118,12/30,CONC,,,,,,,,,,,CIV,,,Civilian,Handles large aircraft; 7 large parking spaces and 25 small ones; ILS Rwy 12/30.  Single taxiway at end of runway leading to utilitarian parking area.  Runway 05/23 closed (DAFIF).,,,,,,,,,,
Zhitomyr Ozernoye,"Oziernoye, Ozernoe, Ozernoye",11 km SE,Zhytomyr,Zhitomirskaya,UA,,,,,M,,50,9.5,N,28,44.3,E,H,761,,,,,,50.1583,28.7383,,3050,80,H,118,12/30,CONC,,,,,,,,,,,MIL,"PVO,DA",IB,"894 IAP (38 MiG-23MLD/ML/UB, 1991)[#1].  341 TBAP (32 Tu-22M2, 1991)[#2], (Tu-22PD, 1991)[#2], (Tu-22UD, 1991)[#2].","Angled taxiways, ramp space, and over 30 large revetments suggest this is a bomber base.  [Ozerne] [Ozernyy]",,,,,,,,,,
Borodyanka,,3 km NW,Borodyanka,,UA,,,,,A,0,50,39.8,N,29,53.6,E,G,463,,,,,,50.6633,29.8933,,3000,60,G,124,,????,,,,,,,,,,,-,,,Abandoned,Airfield is plowed under.  Was probably a former bomber base.,,,,,,,,,,
Kiev/Gostomel,Antonov (US),30 km NW,Kiev,,UA,,UKKM,,D,M,,50,36.2,N,30,11.5,E,D,518,D,,,,,50.6033,30.1917,6.0,3500,56,D,155,15/33,CONC,,,,,,,,,,,CIV,,,Civilian,Antonov test facility (the factory is at Svetoshino).  (Thanks to AviaMK),,,,,,,,,,
Kiev/Svetoshino,Svyatoshino,11 km NW,Kiev,Kievskaya,UA,,,,,M,,50,28.7,N,30,23.1,E,H,571,,,,,,50.4783,30.3850,,1800,80,H,145,14/32,CONC,,,,,,,,,,,CIV,,,Civilian,Antonov aircraft factory (test facility is at Gostomel).  (Thanks to AviaMK)  Runway pavement actually has a 45 m painted width.,,,,,,,,,,
Kiev/Chaika,Kiev West (US),16 km W,Kiev,,UA,,,,,N,4,50,25.8,N,30,18.1,E,G,600,O,,,,,50.4300,30.3017,,1200,50,G,141,,GRAS,,,,,,,,,,,CIV,,,Civilian,"General aviation airfield with An-2, An-28, and other single-engine aircraft.  Tarmac ramp.  Runway pattern and lengths uncertain; satellite presentation obscured by clouds.  Pope John Paul II used the facility for an open-air mass in 2001.",,,,,,,,,,
